CGPA,Internships,Projects,Workshops,Certifications,AptitudeScore,SoftSkillsRating,PlacementStatus
6.8,0,3,0,4,88,5,0
5.28,3,5,2,4,51,7,1
5.0,3,5,0,3,71,8,1
6.4,2,2,2,2,93,7,1
5.22,2,5,0,1,53,4,0
8.88,0,2,0,1,69,7,0
5.59,0,3,1,0,85,5,0
6.5,1,2,1,4,67,5,0
6.9,3,4,0,4,65,8,1
8.98,1,1,0,0,78,8,0
9.74,3,1,2,2,66,6,1
7.91,1,2,0,3,56,4,0
6.59,3,5,2,3,89,9,1
7.27,0,3,0,4,75,9,1
7.51,2,2,1,3,62,6,0
8.05,3,5,1,4,72,8,1
5.97,0,3,2,3,51,5,0
8.04,1,4,1,2,77,4,0
5.53,0,3,1,0,62,4,0
5.79,2,1,1,4,82,6,0
6.17,2,1,0,0,61,9,0
8.42,0,1,0,2,98,5,0
5.25,0,1,0,2,51,8,0
9.73,3,4,2,2,66,9,1
8.04,1,3,2,0,58,7,0
8.34,2,4,2,3,68,5,1
6.09,3,4,0,0,89,5,1
8.24,0,1,1,1,84,7,0
9.71,3,4,0,1,50,9,1
9.32,2,1,0,2,68,6,1
6.94,0,4,2,0,57,7,0
7.91,2,1,2,0,78,5,0
7.63,1,3,0,0,85,4,0
7.37,3,4,2,2,66,4,1
7.44,1,5,2,2,76,5,0
8.1,2,1,0,3,97,6,1
8.69,3,1,1,4,95,8,1
8.59,0,5,0,4,80,6,1
5.36,0,5,2,0,52,5,0
9.49,1,3,1,1,81,9,1
6.22,1,2,1,0,89,4,0
8.4,2,5,1,1,84,5,1
9.38,1,1,0,3,50,9,1
9.27,2,4,1,1,81,9,1
5.74,1,5,1,1,71,4,0
8.95,1,3,0,0,57,8,0
9.63,2,4,1,4,81,7,1
8.36,3,4,0,1,91,9,1
6.91,2,4,1,1,86,5,1
9.01,0,4,0,0,50,5,0
5.45,0,5,0,0,65,8,0
7.66,1,5,2,2,61,5,0
8.64,0,5,1,3,54,4,0
9.7,0,4,1,1,97,8,1
5.83,1,5,2,1,59,9,1
5.22,2,2,1,2,81,4,0
8.28,3,2,0,3,81,6,1
8.25,2,4,0,0,92,8,1
8.94,3,2,2,3,78,8,1
6.81,0,3,1,2,72,4,0
6.85,1,2,1,1,90,7,1
6.67,2,5,0,4,85,5,1
7.73,2,1,2,3,67,4,0
6.64,1,5,0,4,72,4,0
6.81,0,4,0,4,68,4,0
9.6,2,4,0,3,63,7,1
8.03,0,5,2,3,74,7,1
8.61,2,1,2,4,91,5,0
7.64,0,3,2,4,92,6,0
5.69,1,2,0,4,87,9,1
5.35,1,3,1,1,54,8,0
9.74,3,5,0,3,66,4,1
6.68,3,3,0,3,88,6,1
6.59,1,3,0,4,99,7,1
8.56,3,5,2,0,88,4,1
6.14,0,4,0,0,82,9,0
8.85,0,5,0,4,65,9,1
9.41,3,3,2,3,67,4,1
6.41,0,5,1,2,65,4,0
9.6,3,4,0,1,77,7,1
6.7,1,4,0,0,85,6,0
7.57,0,5,0,3,97,8,1
5.37,1,2,2,4,96,4,0
9.48,1,3,0,4,82,9,1
9.74,0,3,0,1,74,9,1
7.73,0,2,0,2,50,8,0
9.15,0,5,2,4,87,6,1
8.69,0,2,1,2,66,8,1
5.62,2,5,0,3,50,4,0
5.23,2,2,1,1,52,6,0
8.92,3,5,1,2,66,8,1
8.38,2,4,1,1,83,5,1
7.1,2,2,0,0,73,7,0
7.51,0,5,0,3,59,4,0
6.24,3,5,1,4,51,8,0
7.78,2,3,2,0,72,6,0
8.08,3,4,0,2,81,6,1
9.67,0,2,2,2,70,8,1
6.67,1,5,1,0,54,4,0
9.29,0,2,0,2,58,5,0
8.01,2,3,2,4,66,5,1
5.41,2,5,2,1,77,9,1
8.59,1,3,2,2,96,9,1
5.15,1,2,1,2,64,4,0
5.87,2,1,0,1,93,4,0
7.85,3,2,2,0,94,5,0
7.58,1,1,2,1,90,8,1
8.1,1,3,2,4,55,8,1
5.04,0,4,1,2,79,4,0
7.52,3,5,2,1,69,7,1
5.03,1,1,1,2,51,6,0
6.34,3,5,1,1,53,6,0
8.53,3,1,1,4,60,7,1
7.85,1,2,1,4,72,5,1
6.55,1,4,0,4,58,4,0
7.27,1,3,1,0,54,9,1
6.96,0,3,0,1,61,6,0
8.56,1,4,0,2,90,8,1
5.79,0,5,0,2,63,5,0
6.52,1,1,1,2,87,4,0
